id,recorded_day,air_pressure,max_temp,temperature,min_temp,dew_point,humidity,cloud_cover,wind_speed,raining
408,44,,18.6,14.8,12.7,8,,,23.4,yes
409,45,,15.9,13.4,11.6,11.2,,,38.3,yes
410,46,1022.5,19.9,18.2,17.2,14.8,78,84,42,yes
411,47,1019.9,21.5,19.1,18.2,18.6,81,81,7.9,yes
412,48,1013.7,20.4,18.4,17.2,18,92,95,14.2,yes
413,49,1015.4,20.9,18.6,16.8,16.8,81,85,11.7,yes
414,50,1018.7,23.3,20.2,19.2,19.4,78,89,16.7,no
415,51,1017.1,15.2,13.6,11.7,10,90,100,27.4,yes
416,52,1017.6,18.9,17.1,15.6,13.3,,,24.2,yes
417,53,1016,21.2,19.9,17.1,16.3,93,96,28.9,yes
418,54,1017.8,17.4,16.6,14.8,15.5,95,100,23.3,yes
419,55,1017.1,16.6,16.5,15.9,15.9,95,96,20.5,yes
420,56,1016.8,16.6,15.3,14.9,13.7,97,96,34.8,yes
421,57,1012.2,20.4,18.6,17.1,16.6,84,83,15.8,yes
422,58,,,,,17.8,,,,yes
423,59,1014.6,16.8,15.5,14.6,15.5,97,100,20.9,yes
424,60,1018.1,25.9,21.5,19.8,19.6,79,51,8.3,no
425,61,1014.6,25.4,21.6,19.4,17.2,81,81,20.2,yes
426,62,1019.2,17.3,16.6,15.3,15.1,95,95,21.6,yes
427,63,1019.7,16.5,15,12.9,15.5,98,100,40.8,yes
428,64,1017.3,25.1,21.6,19.8,19.6,80,91,41.4,yes
429,65,1014.8,16.7,15.5,14.4,12.2,93,100,30.2,yes
430,66,1021.2,20.8,18.4,15.3,9.8,61,19,14.8,no
431,67,1015.2,20.9,19.3,17.2,16.8,86,80,22.5,yes
432,68,1017.1,15.3,13.7,11.5,12.1,96,99,22,yes
433,69,1022.5,18.7,16.6,14.4,12.1,74,40,16.4,no
434,70,1021.4,21.6,20.8,19.1,19.8,93,92,4.5,yes
435,71,1020.6,20.3,18.9,17.6,15.9,74,49,9.2,no
436,72,1014.6,23.8,21.5,19.2,18.9,86,87,8.3,no
437,73,1016,25.3,22.9,20.4,18.7,75,51,41.4,no
438,74,1012.5,26.1,23.1,20.1,21.4,91,88,12.4,yes
439,75,1017.5,20.6,19.5,18.6,18.6,87,75,20,no
440,76,1013,26.8,23.1,21.5,19.4,87,83,7.9,yes
441,77,1013,25.8,23.5,21.6,20.6,82,81,16.7,yes
442,78,1017.8,26.9,23.3,23,22,98,88,19.8,yes
443,79,1013.4,27.8,24.4,23.1,22.1,87,88,13,yes
444,80,1011.4,25.9,22.4,19.7,17.8,89,85,22.3,yes
445,81,1011.1,24.9,22.3,20.4,18,91,86,18.6,yes
446,82,1010.4,21.2,20.9,19.9,19.7,86,88,22.3,yes
447,83,1006.5,21.3,18.4,16.1,14.3,86,81,29.8,yes
448,84,1016.2,26.8,24.1,23.6,22.8,89,89,29.8,yes
449,85,1014.4,26.7,25.4,24.4,23,82,20,13,no
450,86,1008.9,20.1,19.6,17.4,19.8,95,87,16.1,yes
451,87,1011.5,21.7,18.9,16.3,19.4,83,88,28.4,yes
452,88,1014.6,27.7,25.5,24,22.4,94,85,20.2,yes
453,89,1011.2,25.9,23.1,20.6,20.9,86,82,34,yes
454,90,1013.9,24.6,23.1,22.3,20.9,93,85,20,yes
455,91,1012.5,28.4,25.5,23.1,22.9,93,88,21.6,yes
456,92,1011.4,25.3,23.1,22.3,19.6,90,83,21.5,yes
457,93,1013.2,27.8,25.7,23.2,23.4,90,88,20.4,yes
458,94,1013,27.6,25.9,23.7,22.2,87,88,14.5,yes
459,95,1012.5,23.1,22.2,20.4,19.9,91,88,24.4,yes
460,96,1008.7,28.3,25.8,24.8,24.5,89,89,14.8,yes
461,97,1012.4,28.9,25.5,24.1,23.2,96,88,25.1,yes
462,98,1008.4,29,26.5,25.1,24.1,91,85,14.8,yes
463,99,1016.5,28.8,26.5,24.5,23.1,79,83,20.4,yes
464,100,1017.4,28.7,25.8,24.8,23.9,81,80,20,yes
465,101,1012.5,28.7,25.8,24,22,76,81,12.8,yes
466,102,1014.7,26.8,24.4,23.8,22.3,91,77,21.9,yes
467,103,1012.4,26.2,25.5,24,21.4,82,85,33,yes
468,104,1014.4,25.6,21.4,20.5,19,80,88,28.8,yes
469,105,1008.4,29.1,27.1,25,25.1,92,88,13,yes
470,106,1008.3,30.8,27.9,26.4,25.2,93,88,21.6,yes
471,107,1009.5,29.6,27.9,25.3,24.7,,,16.9,yes
472,108,1008.6,31.2,28.2,26.3,24.2,80,83,28.7,yes
473,109,1008.4,29.1,26.9,25,25.3,85,82,9.5,yes
474,110,1008.1,31,28.4,26.3,25,85,88,15.3,yes
475,111,1011.7,29.9,26.2,25.3,21.3,88,81,15.9,yes
476,112,1008.8,28.2,25.2,24.7,22.4,83,79,13.9,yes
477,113,1008.3,28.4,26.6,25.4,24.7,84,88,15.4,yes
478,114,1012.4,30.4,26.1,24.4,22.1,81,88,14.3,yes
479,115,1012.2,26.5,24.9,21.1,19.5,79,79,18.2,yes
480,116,,29.4,25.8,23.1,22.9,,,10.2,yes
481,117,1012,26.5,24.4,23.3,22.2,90,88,37.5,yes
482,118,1011.6,26.7,24.8,23.3,22.5,89,86,37.7,yes
483,119,1012,27.8,25.5,23.9,23.2,89,85,25.1,yes
484,120,1007.8,30.1,27.6,26.8,25,82,79,25.1,yes
485,121,1012.4,26.4,24.9,24.5,22.5,93,88,28.4,yes
486,122,1012.7,27.6,25.3,23.2,21.9,92,88,15.9,yes
487,123,1007.9,29.6,26.8,25.8,24.8,86,88,34.3,yes
488,124,1013.3,26.5,24.9,24,21.2,94,88,28.6,yes
489,125,1011,31,28.2,26.1,23.8,93,74,28.4,yes
490,126,1011.4,26.4,24.8,23.3,21.9,90,88,16.7,yes
491,127,1008.6,28.2,25.4,24,22,87,82,22,yes
492,128,1013,29.2,26.1,24.8,25.6,84,83,26.8,yes
493,129,1007.1,30.4,27.8,24.1,25.7,87,88,13.2,yes
494,130,1008.9,27.6,26.9,24.3,25.8,,,12.1,yes
495,131,1008.9,29.7,27.8,26.9,25.9,87,81,9.8,yes
496,132,1012.3,32.6,26.3,23.9,24.7,90,88,25.9,yes
497,133,1007.9,31,29.1,26.6,25,78,88,22,yes
498,134,1011.6,31.6,28.4,26.4,26.4,78,69,8.3,no
499,135,1006.5,33.3,29,27.8,26,79,72,30.2,yes
500,136,1008.2,33.3,30.2,28.7,25.4,82,59,15.2,yes
501,137,1007.8,32.9,29,27.8,26.4,81,78,17.2,yes
502,138,1007.5,30.9,28.1,27.3,26.3,85,88,18,yes
503,139,1008.8,31.9,28.6,26.4,25.2,89,88,24.2,yes
504,140,1008.4,33.5,26.7,24.8,23.2,70,49,12.8,no
505,141,1006.1,32.7,29.4,27.6,26.7,88,84,31.9,yes
506,142,1009.3,29,26.7,24.7,22.3,72,40,6.9,no
507,143,1008.9,32.3,30.3,27.1,25.4,,,23.2,no
508,144,,33,30.1,28.4,24.1,,,20.5,no
509,145,1004.8,31.1,28.6,26.9,25.8,89,88,30.5,yes
510,146,1008.4,33.1,30.1,27,24.4,78,29,23.9,no
511,147,1004.2,31.8,28.2,26.1,24.8,84,74,11.2,yes
512,148,1008.9,29.6,27.2,25.8,25.4,70,78,9.1,yes
513,149,1009.9,30.8,28.2,24.5,26.7,86,88,17.2,yes
514,150,,32.1,,28.7,25.4,,,,no
515,151,1008.6,34,30.3,27.8,24.3,74,25,9.1,no
516,152,1008.4,33,30.6,28.2,25.6,81,60,43.8,yes
517,153,1009.8,32,29.8,28.5,25.3,76,20,35.3,no
518,154,1007.8,34,30.1,28.1,25.9,78,55,9.1,yes
519,155,,32,30.2,28.1,26.3,,,16.2,no
520,156,1006.3,28.4,27.9,26.2,25.4,90,83,20,yes
521,157,1009.6,31.9,30.2,28.7,25,93,80,39.7,yes
522,158,1006.5,33.8,30,27.4,23.1,80,49,26.1,no
523,159,1009.8,30,27.9,26.4,26.7,87,83,38,yes
524,160,1005.7,33,30,28.4,25.9,80,88,12.8,yes
525,161,1005.1,33.3,30.5,28,26,86,84,21.9,yes
526,162,1008.1,33.3,30.6,27.8,24.8,78,68,11,yes
527,163,1006.8,35.4,31,27,26.4,78,53,14.3,yes
528,164,1007.9,33.2,30.8,28.1,24.8,79,60,22.6,no
529,165,1007.9,35.3,31,28,26,72,28,24.9,no
530,166,1008.1,32.2,29.1,26.1,26.1,80,72,18.4,yes
531,167,1008.5,32.3,29.6,27.4,25,76,74,20,yes
532,168,1008.3,32.4,29.9,28,24.7,75,48,11.3,no
533,169,1005.4,30.6,27.5,26.4,25.9,89,88,15.2,yes
534,170,1003.2,32.4,29.4,27.6,26.2,79,84,9.6,yes
535,171,1008,32.9,30.1,29,25.9,74,30,22.5,yes
536,172,1000.2,33.6,30.5,28.2,26.3,78,61,13.6,no
537,173,1008.1,31,28.6,27.8,26.2,92,86,12.5,yes
538,174,1008.1,33.8,30.6,27.2,25.2,84,85,12.8,yes
539,175,1008.9,32.3,29,27,26,86,88,19.7,yes
540,176,1008.6,32.2,29,26.4,25.3,82,79,13.3,yes
541,177,1008.1,30.6,28.2,24.8,25.8,89,85,17.3,yes
542,178,1008.9,31.6,29.1,27.2,25.2,88,88,15.8,yes
543,179,,33,,29,26,,,,yes
544,180,1007.2,30.9,28.9,26.4,25.9,,,11.8,yes
545,181,1009.5,30.9,28,26.1,25.7,86,84,11.8,yes
546,182,1008.5,33.3,30.2,26.8,25.1,77,72,14.8,yes
547,183,1008.1,33.3,30,28.4,26,79,84,27.3,yes
548,184,1007.8,31.2,29.4,28.2,25.8,84,87,14.2,yes
549,185,1008,32,29.7,28.4,24.9,72,70,12.5,yes
550,186,1010.3,33.2,29,26.5,24.8,77,55,14.6,yes
551,187,1008.6,31.3,29,27,25.4,84,83,8.9,yes
552,188,1007.8,32.4,30,27.9,26.3,,,14.5,yes
553,189,1008.5,32.8,29.2,26.4,25.4,84,83,15.4,no
554,190,1005.9,34,30.6,28.4,25.8,78,73,12.7,no
555,191,,32.9,30.1,28.1,25.7,,,9.5,yes
556,192,1007.7,31.8,28.2,26.6,24.8,81,88,12.8,yes
557,193,1008.2,33.3,30.6,27.6,25.3,77,79,20,no
558,194,1008.5,33.7,30.2,28.7,24.6,72,44,13.9,no
559,195,1008.1,33.4,30.8,28,25.3,74,29,14.2,no
560,196,1008.9,32.8,30.1,28.9,24.3,78,21,11.1,no
561,197,1009.3,33.2,30.4,28.4,24.3,75,53,10.3,no
562,198,1006.9,32.6,30.2,28,24.4,82,62,16.9,no
563,199,1008.9,32.3,29.1,27,24.1,78,57,16.2,yes
564,200,1009.2,33.4,30.1,27.9,25.2,71,35,12,no
565,201,1007.8,36,30,28.1,25.9,79,78,12,yes
566,202,1011,31.2,28.8,26.8,25,75,53,6.9,no
567,203,1008.4,33,29.1,25.3,24.8,74,47,12.6,yes
568,204,1009.1,32.8,30,29.2,24.6,74,53,25.1,no
569,205,1008.8,31.3,29.2,26.4,24.3,67,46,18.1,yes
570,206,1008.9,30.8,27.3,26.3,25.8,85,83,6.1,yes
571,207,1009.5,32,29.1,26.4,25.1,70,43,13,yes
572,208,1005.3,35.8,31.1,26.7,26,77,49,21.5,no
573,209,1008.9,33.2,29.1,26.6,24.1,71,46,9.5,yes
574,210,1008.9,33.2,29.6,27.8,26.1,81,78,6.1,yes
575,211,1009.8,31.7,29.8,26.8,24.3,84,67,10.2,yes
576,212,1008.6,31.9,28.7,26.3,25.9,86,88,21.6,yes
577,213,1005.6,31.7,29.8,26.8,26,80,80,24.8,yes
578,214,1008.5,29,27.8,26,25.8,89,88,17.5,yes
579,215,1007.5,33.4,30.7,27.3,26.1,79,83,23.9,yes
580,216,1005.9,30.7,27.9,26.6,24.3,84,78,14.8,yes
581,217,1003.5,30.6,27.9,26.2,23.6,82,84,12,yes
582,218,1005.9,30.6,28,26.3,23.3,77,47,10.2,yes
583,219,1005.8,31.2,28,25.4,24.1,76,53,12.9,yes
584,220,1000.2,33.1,30.4,27.3,25.9,77,43,10.2,no
585,221,1007.5,33.1,29.8,27.4,26,79,77,9.5,no
586,222,1007.8,28.1,26.7,25,24.2,84,67,15.3,yes
587,223,1008.1,33.2,30,28.1,25.9,78,69,11.1,no
588,224,1008.4,32.3,29,27.8,25.8,82,67,14.5,yes
589,225,1008.9,32.8,30.6,27.3,24.5,81,88,7.9,yes
590,226,1011.7,31,28.4,26.6,26,,,12.8,yes
591,227,1012.5,33,30.2,28.4,24.2,75,44,9.1,no
592,228,1010.7,30.4,27.4,25.3,25.3,87,88,17.5,yes
593,229,1011.5,29.1,26.8,24.8,23.2,81,88,15.3,yes
594,230,1011.1,33.1,29.8,28.2,25.3,84,47,18.6,yes
595,231,1008.1,34,30.4,28,25.5,82,80,28.5,yes
596,232,1011.4,31.7,28.9,25.2,23.1,74,32,11.9,no
597,233,1010.5,28.3,26.1,25.9,23.5,86,88,22.4,yes
598,234,1007.8,33.1,30,28.3,25.9,81,70,24.5,yes
599,235,1008.5,28.5,26.5,24.5,24.6,91,85,8.9,yes
600,236,1008,30.4,26.2,24.8,22,84,30,12.1,no
601,237,1006.7,31,28.1,26.5,25,80,88,40,yes
602,238,1007,29.1,27.9,26.5,25.9,,,37.5,yes
603,239,1010.9,30.8,26.5,24.8,21.5,79,49,22.5,no
604,240,1013.3,30.8,27,25.3,21.4,73,49,22.9,no
605,241,1009.6,32,29.4,27,25.8,72,46,27.3,no
606,242,1010.5,29.8,26.1,24.7,23.4,76,86,24.4,yes
607,243,1008.3,27.7,26.8,25.5,25.3,87,85,9.9,yes
608,244,1010.5,29.4,26.5,24.8,23.2,86,84,9.2,yes
609,245,1010.8,31.2,28,26.8,23.8,78,46,16.6,no
610,246,1010.5,29.8,27.9,26.3,23.9,84,56,9.5,no
611,247,1011.5,32.2,28.3,26.3,23.2,72,28,16.9,no
612,248,1005.7,31.2,29.1,27,25.1,84,77,26.3,yes
613,249,,30.2,28.1,26.9,26.3,,,28.5,yes
614,250,1009.8,31.1,28,26.5,25.8,79,81,40.4,yes
615,251,1005.7,32.8,29.1,27.9,26.1,79,30,38,no
616,252,1014.5,30.1,28.2,26.6,20.4,79,46,31.8,no
617,253,1008.9,32.8,29.8,27.3,24.3,82,62,16.5,no
618,254,,32.4,29.4,26.6,24.9,,,27.1,yes
619,255,1005.5,31.5,29.8,26.8,25.8,75,38,13.1,yes
620,256,1011.6,30.8,27.6,25.9,23.2,81,81,44.7,no
621,257,1013.9,32,28.1,26.2,25.3,,,25,yes
622,258,1006.8,31.3,29.7,28.1,26.1,93,93,39.5,yes
623,259,1005.9,29.2,27.3,24.5,25,93,94,28,yes
624,260,1010.3,28.7,26.2,25.6,21.6,89,93,12.1,no
625,261,1011.4,30.7,27.4,24.5,22,82,60,12.7,no
626,262,1006.3,28.5,26.3,25.2,25.4,85,84,38.3,yes
627,263,1012.5,31.3,28.3,25.8,19.9,61,47,8.7,no
628,264,1015.7,29,26.9,24.8,20,76,49,14.3,no
629,265,1015.5,30.6,28.5,26.4,25.4,77,62,30,yes
630,266,1013.7,25.2,24.9,23.6,23.5,97,88,41.4,yes
631,267,1016.3,26.4,25.9,24.7,21.9,94,95,26.4,yes
632,268,1013.2,29.8,25.1,23.1,20.6,74,20,20.5,no
633,269,1014.6,26.3,24.8,23.4,19.9,76,20,26.5,yes
634,270,1012.9,30.8,26.1,23.2,20.6,74,44,17.2,no
635,271,1013,27.3,25.4,23.2,19.6,77,51,16.4,no
636,272,1010.9,25.5,23.8,21.6,20.2,81,61,21.9,yes
637,273,1018.2,30.6,24.2,20.6,18.7,70,53,36,no
638,274,1010.3,24.9,20.7,19.1,19.9,70,86,40,yes
639,275,1016.3,30.2,27.5,25.4,24,85,88,10.9,yes
640,276,1017.8,26.6,25.4,24.8,22.3,79,82,27.9,yes
641,277,1016.7,26.9,24.8,23.5,22.4,83,81,22.2,yes
642,278,1014.9,26.9,25.4,24.8,21.6,79,77,22.2,yes
643,279,1015,28.8,25.8,23.9,20.9,82,75,12.8,yes
644,280,1017,26.9,24.7,23.3,20.6,82,88,15.7,yes
645,281,1012.4,25.6,22.3,20.3,19.4,70,60,20.8,yes
646,282,1011.4,24.7,22.3,20.1,18.8,77,51,24.9,no
647,283,1017.6,26.4,24.5,23.4,22.9,,,37,yes
648,284,1010.3,26.6,24.1,23.3,19.9,80,58,23.7,no
649,285,1020.8,28.4,25.8,23.3,19.5,75,72,14.1,no
650,286,1012.4,25,23.1,20.6,21.4,,,27.4,yes
651,287,1016.2,28,25.9,24,22.3,,,30.3,no
652,288,1010.5,26.1,25.8,24.5,20.6,79,67,13,no
653,289,1016.6,26.2,26.8,23.2,20.4,79,69,22.4,yes
654,290,1013.4,29.1,23.5,21,19.9,82,74,25.1,yes
655,291,1019.4,28.1,25.9,24.5,20.9,85,58,21.6,yes
656,292,1017.8,30,26.8,25.5,23.6,84,67,11.1,yes
657,293,1012.6,28.5,26.5,23.1,21.3,84,72,25,yes
658,294,1017.8,25.9,24.7,22.2,21.8,85,88,39.5,yes
659,295,1015.2,29.5,26.7,24.1,22.1,76,48,15.1,yes
660,296,1017.4,26.3,23.1,21.5,20.6,85,81,28.2,yes
661,297,1019,26.1,23.1,21.1,17.1,87,87,28.6,yes
662,298,1017.7,26.6,25.8,24.1,21.4,89,88,23.3,yes
663,299,1015,28.4,25.4,23.7,20.6,90,81,15.3,yes
664,300,1017.6,26.8,24.8,21.4,22.3,88,88,23.9,yes
665,301,1018.1,25.9,24.7,23.3,21.4,86,80,16.5,no
666,302,1017.8,26.6,24.8,23.3,22.5,86,84,15.3,no
667,303,1015.5,29.5,26.2,24.8,23.3,84,88,9,yes
668,304,,28.9,25.4,24.3,22.6,,,15.3,yes
669,305,1019.7,25.9,24.9,22.7,22,89,84,26.1,yes
670,306,1014.5,27.2,25.3,24,21.4,82,66,29.6,yes
671,307,1017.6,27.6,25.4,24,23,89,86,17.2,yes
672,308,1014.6,26.9,25.4,24.8,21.4,82,85,16.9,yes
673,309,1016.4,26.6,24.4,22.1,17.6,76,78,8.3,yes
674,310,,25.2,,19.2,17.8,,,,no
675,311,1021.6,25.3,22,22.6,19.4,83,84,11.9,yes
676,312,1016.2,21.3,19.3,18.9,18.6,79,85,28.7,yes
677,313,1021.1,21.1,19.9,18.7,16.4,75,88,16.2,yes
678,314,1017.5,21.1,20.9,19.2,18.8,91,88,31.8,yes
679,315,,21.9,18.6,18.8,15.4,,,26.8,yes
680,316,1018.2,24.9,21.1,20.4,17.9,87,84,27,yes
681,317,1016.5,22.8,19.1,18.5,17.6,91,88,9.8,yes
682,318,1017.5,21.9,19.2,17.7,17.2,93,93,21.9,yes
683,319,1019,22.9,20.8,18.4,16,75,43,26.8,no
684,320,1020,19.3,18.1,17.1,16.9,88,80,24,yes
685,321,1020.3,21.3,19.9,17.2,15.5,75,66,23.3,no
686,322,1018.1,22.4,20.5,19.4,16,83,89,15.7,yes
687,323,1020.6,18.9,17.7,16.9,12.9,75,95,26.1,yes
688,324,1019.1,20.9,17.2,15.6,16.1,91,85,15.4,yes
689,325,1016.8,21.6,20.5,19.8,18,95,87,21.4,yes
690,326,1015.9,18.9,17.7,16.9,17.2,95,95,40,yes
691,327,1020.9,24.7,22.3,20.2,17.3,75,43,20.4,no
692,328,1018.2,22.2,20.9,18,18.7,81,78,10.3,yes
693,329,1017,22.9,20.6,18.3,16.6,77,78,23.7,yes
694,330,1020.9,17.4,16.6,15.5,13.7,,,22.5,yes
695,331,1025.3,17.5,13.2,11.6,8.4,78,87,20.5,no
696,332,1020.1,18.8,15.3,13.4,6.2,80,88,21.6,yes
697,333,1023.4,18.2,14.7,12.3,9.9,79,88,39.3,yes
698,334,1021.2,17.4,15.2,14.1,13.6,84,83,30.6,yes
699,335,1020.8,17.7,16.1,14.6,12.9,79,81,29.8,no
700,336,1022.3,18,13.7,11.9,3.8,75,74,21.9,no
701,337,1023.4,16.6,15.8,13.7,11.9,77,77,25.2,no
702,338,1021.1,17.3,18,16.1,16.1,70,86,14.8,no
703,339,1017.9,17.6,17.5,16.1,15.5,86,88,41.3,yes
704,340,1022.5,19.2,17.7,15.2,12.1,76,86,29,yes
705,341,1019.7,16.7,15.6,14.8,14.8,90,90,27.3,yes
706,342,1017.7,17.5,16.4,15.6,15.5,93,95,25.9,yes
707,343,1018.7,16.3,15.4,14.4,12.7,79,88,30.2,yes
708,344,1018.1,23.2,19.6,17.2,15,72,19,9.8,no
709,345,1016.7,22.3,18.4,16.5,15.5,85,90,29.8,yes
710,346,1020.8,15.7,13.9,11.8,10.9,86,88,24.8,yes
711,347,1017.1,17.3,16.3,15.3,15.4,90,87,18,yes
712,348,1023.9,17.6,15.2,11.5,13.6,93,88,17.3,yes
713,349,1022.7,15.8,15.2,14,11.4,89,88,39.5,yes
714,350,1016.1,22.9,22,20,19.8,82,81,35.3,yes
715,351,1019.4,17.3,15,14.5,15.6,79,89,27.1,yes
716,352,1017.8,21.3,19.3,17.8,18.1,81,86,18.2,yes
717,353,1024,21,18.8,17.9,13.9,91,88,12.8,yes
718,354,1016.4,22.3,18.2,17.4,15.5,95,88,28.4,yes
719,355,1016.7,19.6,18.9,17.2,16.5,83,81,38.3,yes
720,356,1019.4,20.6,18.5,16.5,16.4,75,90,38,yes
721,357,1023.1,20.1,20,17.8,16.9,76,87,20.5,yes
722,358,1022.9,21.3,19,17,12.6,74,61,36,no
723,359,1021.1,17.6,16.3,15.2,13.9,79,88,39.3,yes
724,360,1019.4,16.8,15.5,15.4,15,96,95,24.2,yes
725,361,1020.6,18.1,17.3,16.5,14.6,91,88,33.4,yes
726,362,1016.6,17.2,17.2,16.6,16.4,91,88,38,yes
727,363,1020.8,18.1,15.2,13.8,12.6,78,91,20.2,yes
728,364,1019.7,17.7,16.1,15.3,12.9,79,88,38.3,yes
729,365,1016.8,20.4,18.5,17.4,18.2,77,97,43.8,yes
730,1,1016.8,20.5,18.1,17.7,16.9,96,91,48,yes
731,2,1019.9,16.6,15.5,14.4,12.4,92,100,37,yes
732,3,1013.5,23.2,18,17.5,16,79,81,55.5,yes
733,4,1014.9,18.6,17.3,16.9,16.8,95,95,59.5,yes
734,5,1024.4,11.3,11.4,10.4,8.6,77,88,39.3,yes
735,6,1021.6,14.3,13.7,11.8,11.1,67,91,59.5,no
736,7,1024.1,15.4,13.8,10,11.7,,,25.2,yes
737,8,1018.9,15,13.6,12.7,11.2,96,100,29,yes
738,9,1024.1,15.5,13.5,11.1,11.6,86,78,21.6,yes
739,10,1014.5,16.3,14.7,11.8,11.6,87,100,29.8,yes
740,11,1027.1,18.5,15.4,13.7,10.1,75,89,39.5,yes
741,12,1017.7,17,16.6,14.8,15.7,93,100,30.3,yes
742,13,1016.8,15.8,15.3,14.6,13.3,79,94,39.5,yes
743,14,1022.4,18.5,16.5,15.3,12.1,76,88,29.6,yes
744,15,1019.9,20.6,17.2,16.1,15.9,97,99,20.4,yes
745,16,1020.9,18.6,17.2,15.4,12.7,75,19,42,no
746,17,1021.5,12.5,8.5,4.7,2,75,69,19.8,no
747,18,1023.9,19.5,16.4,15.4,9.8,72,11,28.6,no
748,19,1024.1,19.8,16.6,14.4,7.2,62,29,24.9,no
749,20,1021.6,20.3,16.1,14.3,13.2,76,19,55.5,no
750,21,1022.3,18,16.5,14.6,15.5,86,91,14.8,yes
751,22,1023.9,20.3,17.3,16.4,14.7,74,43,14.1,no
752,23,1024.7,22.4,17.7,15.4,10.1,49,19,40,no
753,24,1014.6,23.8,19.4,17.2,16.8,63,81,39.5,no
754,25,1013.4,20.9,19,17.1,19.3,96,100,16.7,yes
755,26,1014.8,25.3,21.7,18.4,18,86,80,14.7,yes
756,27,1020.6,24.8,19.1,17.2,16.6,,,33.5,yes
757,28,1013.6,22.7,21.9,19.1,19.2,90,88,25.1,yes
758,29,1020.4,15.5,15.4,14.1,12,93,88,24.4,yes
759,30,1021.4,14.5,12.9,10.5,4.3,70,19,21.3,no
760,31,1017.5,22.7,21.5,20.1,20.8,93,88,35.8,yes
761,32,1023.6,15.1,13.7,11.5,11.8,89,95,18.2,yes
762,33,1020.4,17.2,16.2,15.6,11,69,46,24.4,no
763,34,1025.6,20.3,18.1,17.9,16,76,83,26.1,yes
764,35,1017.8,20.6,18.7,17.1,16.7,79,84,21.9,yes
765,36,1022.7,15.4,13.3,11.4,9.7,79,88,25.2,yes
766,37,1026.5,15,13.6,11.2,6.4,69,88,32.2,yes
767,38,1020.6,21.2,18.2,17.3,14.6,79,83,17.3,yes
768,39,1017.1,22.3,20.7,17.2,18,82,87,24.9,yes
769,40,1025.4,19.7,17.7,15.8,13.3,75,78,16,no
770,41,1018.9,21.6,18,17.6,15.9,78,82,12.7,yes
771,42,1014.2,20.7,17.3,16.5,14.4,78,88,25.1,yes
772,43,1015.1,25.5,21.6,20.6,19.4,78,68,14.8,no
773,44,1024.3,21.1,17.8,15.3,9.4,76,59,25.5,no
774,45,1018.6,20.8,18.8,18.3,17.3,78,55,8.6,yes
775,46,1017.9,20.6,18.5,16.9,15,85,91,33,yes
776,47,1018.6,17,16.6,15.3,14.5,93,91,20.5,yes
777,48,1016.3,17.4,15.3,14.8,14.4,95,91,29.8,yes
778,49,1019.9,17.5,16.5,15.5,15.6,95,91,34,yes
779,50,1024.4,17.3,15.5,13.7,13.7,78,88,10.2,yes
780,51,1015.2,17.1,16.6,15.9,15.9,,,21.8,yes
781,52,,,,,16.5,,,,yes
782,53,1019.4,23.6,20.4,18.9,9.9,79,48,23.9,no
783,54,1016.6,25.8,21.6,16.6,15.1,90,85,24.8,yes
784,55,1020.4,17.1,15.5,14.8,8.2,79,79,23.3,no
785,56,1023.4,15.2,13.3,11.4,8.4,,,28.6,yes
786,57,1012.2,21.3,18.9,18.8,18.6,92,96,11.1,yes
787,58,1012,17.6,17.5,16.5,15.5,97,88,15.7,yes
788,59,1012,18,17.3,16.3,16.1,76,86,31.7,yes
789,60,1014.8,21.4,20.5,19.5,15.5,76,78,25.2,no
790,61,1013.4,24,21.8,19.6,19.8,79,76,11.2,yes
791,62,1012.2,21.3,20.6,19,19,90,84,9.4,yes
792,63,1018.4,21.3,19.1,17.2,18.9,,,8.1,yes
793,64,1015.2,19.3,18.7,17.4,17.3,93,88,17.3,yes
794,65,1021.8,21.9,19.2,17.4,15.7,82,82,21.4,yes
795,66,1017.5,23,20.8,19.8,16.4,75,83,22.6,yes
796,67,1020.6,18.8,19.9,17.1,16,79,95,19.3,yes
797,68,1020.3,21.2,20.8,19.1,16.4,78,88,25,yes
798,69,1012.7,23.5,21.5,19.8,18.8,91,88,23.9,yes
799,70,1020.6,21.2,19.3,17.2,16.9,91,74,20.5,yes
800,71,1017.1,18.6,17.7,16.9,15,79,91,38,yes
801,72,1016,24.4,22.1,19.8,17.6,87,74,10.2,yes
802,73,1019.4,21.3,20.7,20.9,18.3,81,88,12.1,yes
803,74,1013.2,25.2,23.2,21,9.2,59,70,18,no
804,75,1013.1,25.9,23.1,21,21.4,93,88,17.2,no
805,76,1017.4,23.9,21.2,19,16.9,76,70,15.3,no
806,77,,27.8,23.1,21.3,21.9,,,25.5,yes
807,78,1018,27.7,25.3,22.8,22.3,85,89,17.3,yes
808,79,,26.7,23.2,21.1,23.2,,,15.3,yes
809,80,1011.4,17.1,16.8,15.6,16.5,,,29.7,yes
810,81,1011.6,22.4,21.1,20.1,19.6,,,12.5,yes
811,82,1010.3,17.6,16.6,15.6,13.4,92,96,41.4,yes
812,83,1008.2,25.9,22,21.5,20.6,88,84,24.2,yes
813,84,1013.5,26,24.5,21,22.7,89,88,20.8,yes
814,85,1010.3,26.9,24.9,23,22.3,88,89,11.3,yes
815,86,1013.3,27.7,25.3,23.6,22.3,84,90,6.6,yes
